opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id
2026-05-04T16:47:17+00:00,open,highest-temperature-in-toronto-on-may-5-2026,Highest temperature in Toronto on May 5?,highest-temperature-in-toronto-on-may-5-2026-14c,Will the highest temperature in Toronto be 14°C on May 5?,14°C,BUY_YES,5.0,0.059,0.002776,80.937581,0.30668,0.244904,24.8219,19.8219,14.694859945339182,13.5,14.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,7c048ac06d447582
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shenzhen-on-may-5-2026,Highest temperature in Shenzhen on May 5?,highest-temperature-in-shenzhen-on-may-5-2026-24c,Will the highest temperature in Shenzhen be 24°C on May 5?,24°C,BUY_NO,5.0,0.73,0.009855,6.758081,0.98403,0.244175,6.6502,1.6502,26.6233162687414,23.5,24.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,c7f2c08b47d3f41c
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-22c,Will the highest temperature in Tokyo be 22°C on May 5?,22°C,BUY_NO,5.0,0.74,0.00962,6.670046,0.991358,0.241738,6.6124,1.6124,19.135431870510757,21.5,22.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,5ca1f1650f2a31f5
2026-05-04T16:47:17+00:00,open,highest-temperature-in-miami-on-may-5-2026,Highest temperature in Miami on May 5?,highest-temperature-in-miami-on-may-5-2026-84-85f,Will the highest temperature in Miami be between 84-85°F on May 5?,84-85°F,BUY_NO,5.0,0.64,0.01152,7.674361,0.889478,0.237958,6.8262,1.8262,27.723492866429737,84.0,86.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,4a546a16c2c38ef3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-20c,Will the highest temperature in Tokyo be 20°C on May 5?,20°C,BUY_YES,5.0,0.035,0.001689,136.280629,0.271522,0.234834,37.0032,32.0032,19.135431870510757,19.5,20.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,857acc418b58bea0
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shenzhen-on-may-5-2026,Highest temperature in Shenzhen on May 5?,highest-temperature-in-shenzhen-on-may-5-2026-25c,Will the highest temperature in Shenzhen be 25°C on May 5?,25°C,BUY_NO,5.0,0.64,0.01152,7.674361,0.886212,0.234692,6.8011,1.8011,26.6233162687414,24.5,25.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,7b6041d6f249a8c9
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-5-2026,Lowest temperature in Hong Kong on May 5?,lowest-temperature-in-hong-kong-on-may-5-2026-18c,Will the lowest temperature in Hong Kong be 18°C on May 5?,18°C,BUY_YES,5.0,0.01,0.000495,476.417342,0.243006,0.232511,115.7723,110.7723,18.99426475449078,17.5,18.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,6aba2dee84be7785
2026-05-04T16:47:17+00:00,open,highest-temperature-in-guangzhou-on-may-5-2026,Highest temperature in Guangzhou on May 5?,highest-temperature-in-guangzhou-on-may-5-2026-26corhigher,Will the highest temperature in Guangzhou be 26°C or higher on May 5?,26°C or higher,BUY_YES,5.0,0.62,0.01178,7.914147,0.86353,0.23175,6.8341,1.8341,26.59631569169355,25.5,,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,1a7fef464c5737a7
2026-05-04T16:47:17+00:00,open,highest-temperature-in-amsterdam-on-may-5-2026,Highest temperature in Amsterdam on May 5?,highest-temperature-in-amsterdam-on-may-5-2026-16c,Will the highest temperature in Amsterdam be 16°C on May 5?,16°C,BUY_NO,5.0,0.52,0.01248,9.390024,0.76409,0.23161,7.1748,2.1748,17.026129041990686,15.5,16.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,ac4fa23670c49db0
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-shanghai-on-may-6-2026,Lowest temperature in Shanghai on May 6?,lowest-temperature-in-shanghai-on-may-6-2026-16c,Will the lowest temperature in Shanghai be 16°C on May 6?,16°C,BUY_NO,5.0,0.67,0.011055,7.341551,0.911947,0.230892,6.6951,1.6951,14.21371165765098,15.5,16.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,fd1ffa89b034f8fb
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wellington-on-may-5-2026,Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026-17c,Will the highest temperature in Wellington be 17°C on May 5?,17°C,BUY_NO,5.0,0.69,0.010695,7.135772,0.92781,0.227115,6.6206,1.6206,15.097094710466243,16.5,17.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,ef38ab6508b3ebcc
2026-05-04T16:47:17+00:00,open,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026-33c,Will the highest temperature in Lagos be 33°C on May 5?,33°C,BUY_NO,5.0,0.75,0.009375,6.584362,0.98621,0.226835,6.4936,1.4936,30.31702523824956,32.5,33.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,d45735346ec877d3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wellington-on-may-5-2026,Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026-15c,Will the highest temperature in Wellington be 15°C on May 5?,15°C,BUY_YES,5.0,0.15,0.006375,31.97442,0.381269,0.224894,12.1909,7.1909,15.097094710466243,14.5,15.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,6db12f0d759a8299
2026-05-04T16:47:17+00:00,open,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026-30c,Will the highest temperature in Beijing be 30°C on May 5?,30°C,BUY_NO,5.0,0.7,0.0105,7.037298,0.934719,0.224219,6.5779,1.5779,28.040701107743466,29.5,30.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,179b06117f261912
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-5-2026,Lowest temperature in Hong Kong on May 5?,lowest-temperature-in-hong-kong-on-may-5-2026-21c,Will the lowest temperature in Hong Kong be 21°C on May 5?,21°C,BUY_NO,5.0,0.71,0.010295,6.9416,0.940042,0.219747,6.5254,1.5254,18.99426475449078,20.5,21.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,56dd394d92099816
2026-05-04T16:47:17+00:00,open,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,highest-temperature-in-hong-kong-on-may-5-2026-25c,Will the highest temperature in Hong Kong be 25°C on May 5?,25°C,BUY_NO,5.0,0.7,0.0105,7.037298,0.929227,0.218727,6.5392,1.5392,23.08584754555909,24.5,25.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,b928122b4cce85a4
2026-05-04T16:47:17+00:00,open,highest-temperature-in-kuala-lumpur-on-may-5-2026,Highest temperature in Kuala Lumpur on May 5?,highest-temperature-in-kuala-lumpur-on-may-5-2026-34c,Will the highest temperature in Kuala Lumpur be 34°C on May 5?,34°C,BUY_NO,5.0,0.71,0.010295,6.9416,0.938579,0.218284,6.5152,1.5152,32.00731650824123,33.5,34.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,a09b9fb9dc3459c0
2026-05-04T16:47:17+00:00,open,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,highest-temperature-in-san-francisco-on-may-5-2026-58-59f,Will the highest temperature in San Francisco be between 58-59°F on May 5?,58-59°F,BUY_YES,5.0,0.063,0.002952,75.812712,0.283374,0.217423,21.4834,16.4834,14.061808847105477,58.0,60.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,142788d4b13ed7b9
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-tokyo-on-may-6-2026,Lowest temperature in Tokyo on May 6?,lowest-temperature-in-tokyo-on-may-6-2026-14c,Will the lowest temperature in Tokyo be 14°C on May 6?,14°C,BUY_YES,5.0,0.07,0.003255,68.254727,0.288383,0.215128,19.6835,14.6835,13.214793606595002,13.5,14.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,0509c59a579b243c
2026-05-04T16:47:17+00:00,open,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,highest-temperature-in-hong-kong-on-may-5-2026-23c,Will the highest temperature in Hong Kong be 23°C on May 5?,23°C,BUY_YES,5.0,0.16,0.00672,29.990403,0.38163,0.21491,11.4452,6.4452,23.08584754555909,22.5,23.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,bd8d9d27e2c664c3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026-31c,Will the highest temperature in Lagos be 31°C on May 5?,31°C,BUY_YES,5.0,0.09,0.004095,53.137786,0.308999,0.214904,16.4195,11.4195,30.31702523824956,30.5,31.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,64726895a795893e
2026-05-04T16:47:17+00:00,open,highest-temperature-in-amsterdam-on-may-5-2026,Highest temperature in Amsterdam on May 5?,highest-temperature-in-amsterdam-on-may-5-2026-17c,Will the highest temperature in Amsterdam be 17°C on May 5?,17°C,BUY_YES,5.0,0.162,0.006788,29.622959,0.382805,0.214017,11.3398,6.3398,17.026129041990686,16.5,17.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,2e1560676966fe5a
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-nyc-on-may-6-2026,Lowest temperature in NYC on May 6?,lowest-temperature-in-nyc-on-may-6-2026-54-55f,Will the lowest temperature in New York City be between 54-55°F on May 6?,54-55°F,BUY_YES,5.0,0.12,0.00528,39.9106,0.338929,0.213649,13.5269,8.5269,12.082440508168148,54.0,56.0,fahrenheit,2026-05-06T12:00:00Z,0,,pending,,,,,1269bb7f99e937ef
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-nyc-on-may-5-2026,Lowest temperature in NYC on May 5?,lowest-temperature-in-nyc-on-may-5-2026-60-61f,Will the lowest temperature in New York City be between 60-61°F on May 5?,60-61°F,BUY_NO,5.0,0.78,0.00858,6.340511,0.999947,0.211367,6.3402,1.3402,11.679789177893573,60.0,62.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,ae56b6569b0d5f49
2026-05-04T16:47:17+00:00,open,highest-temperature-in-miami-on-may-5-2026,Highest temperature in Miami on May 5?,highest-temperature-in-miami-on-may-5-2026-82-83f,Will the highest temperature in Miami be between 82-83°F on May 5?,82-83°F,BUY_YES,5.0,0.14,0.00602,34.241885,0.356425,0.210405,12.2047,7.2047,27.723492866429737,82.0,84.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,bed7bae460351d6e
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-shanghai-on-may-6-2026,Lowest temperature in Shanghai on May 6?,lowest-temperature-in-shanghai-on-may-6-2026-14c,Will the lowest temperature in Shanghai be 14°C on May 6?,14°C,BUY_YES,5.0,0.16,0.00672,29.990403,0.374969,0.208249,11.2455,6.2455,14.21371165765098,13.5,14.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,89032b16cccdb95d
2026-05-04T16:47:17+00:00,open,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,highest-temperature-in-atlanta-on-may-5-2026-82-83f,Will the highest temperature in Atlanta be between 82-83°F on May 5?,82-83°F,BUY_NO,5.0,0.78,0.00858,6.340511,0.996785,0.208205,6.3201,1.3201,25.059307636081016,82.0,84.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,a7533bf8800b4249
2026-05-04T16:47:17+00:00,open,highest-temperature-in-amsterdam-on-may-5-2026,Highest temperature in Amsterdam on May 5?,highest-temperature-in-amsterdam-on-may-5-2026-18c,Will the highest temperature in Amsterdam be 18°C on May 5?,18°C,BUY_YES,5.0,0.038,0.001828,125.539821,0.247538,0.20771,31.0759,26.0759,17.026129041990686,17.5,18.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,cfbd4ac0feada706
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-6-2026,Lowest temperature in Hong Kong on May 6?,lowest-temperature-in-hong-kong-on-may-6-2026-23c,Will the lowest temperature in Hong Kong be 23°C on May 6?,23°C,BUY_NO,5.0,0.76,0.00912,6.500936,0.971925,0.202805,6.3184,1.3184,20.620152347444535,22.5,23.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,708ddd044065cf0f
2026-05-04T16:47:17+00:00,open,highest-temperature-in-amsterdam-on-may-5-2026,Highest temperature in Amsterdam on May 5?,highest-temperature-in-amsterdam-on-may-5-2026-15c,Will the highest temperature in Amsterdam be 15°C on May 5?,15°C,BUY_NO,5.0,0.73,0.009855,6.758081,0.942277,0.202422,6.368,1.368,17.026129041990686,14.5,15.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,67db3b4c87779346
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-6-2026,Lowest temperature in Hong Kong on May 6?,lowest-temperature-in-hong-kong-on-may-6-2026-21c,Will the lowest temperature in Hong Kong be 21°C on May 6?,21°C,BUY_YES,5.0,0.15,0.006375,31.97442,0.358348,0.201973,11.458,6.458,20.620152347444535,20.5,21.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,383ebc5ec8268e38
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-nyc-on-may-6-2026,Lowest temperature in NYC on May 6?,lowest-temperature-in-nyc-on-may-6-2026-60-61f,Will the lowest temperature in New York City be between 60-61°F on May 6?,60-61°F,BUY_NO,5.0,0.79,0.008295,6.263349,0.999745,0.20145,6.2618,1.2618,12.082440508168148,60.0,62.0,fahrenheit,2026-05-06T12:00:00Z,0,,pending,,,,,cb93e4ca44b8eed9
2026-05-04T16:47:17+00:00,open,highest-temperature-in-qingdao-on-may-5-2026,Highest temperature in Qingdao on May 5?,highest-temperature-in-qingdao-on-may-5-2026-24c,Will the highest temperature in Qingdao be 24°C on May 5?,24°C,BUY_YES,5.0,0.08,0.00368,59.751434,0.283841,0.200161,16.9599,11.9599,24.806879149466667,23.5,24.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,85e49d3efc1ecf62
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-miami-on-may-5-2026,Lowest temperature in Miami on May 5?,lowest-temperature-in-miami-on-may-5-2026-74-75f,Will the lowest temperature in Miami be between 74-75°F on May 5?,74-75°F,BUY_NO,5.0,0.79,0.008295,6.263349,0.998179,0.199884,6.2519,1.2519,20.430772386830146,74.0,76.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,3a54cfce0f35f0cf
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-shanghai-on-may-5-2026,Lowest temperature in Shanghai on May 5?,lowest-temperature-in-shanghai-on-may-5-2026-15c,Will the lowest temperature in Shanghai be 15°C on May 5?,15°C,BUY_NO,5.0,0.48,0.01248,10.152697,0.686909,0.194429,6.974,1.974,14.338290681745908,14.5,15.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,a91e84929ddafd22
2026-05-04T16:47:17+00:00,open,highest-temperature-in-jakarta-on-may-5-2026,Highest temperature in Jakarta on May 5?,highest-temperature-in-jakarta-on-may-5-2026-33c,Will the highest temperature in Jakarta be 33°C on May 5?,33°C,BUY_NO,5.0,0.8,0.008,6.188119,0.999347,0.191347,6.1841,1.1841,29.29088729636456,32.5,33.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,969a20e992089e6e
2026-05-04T16:47:17+00:00,open,highest-temperature-in-busan-on-may-5-2026,Highest temperature in Busan on May 5?,highest-temperature-in-busan-on-may-5-2026-22c,Will the highest temperature in Busan be 22°C on May 5?,22°C,BUY_NO,5.0,0.79,0.008295,6.263349,0.989565,0.19127,6.198,1.198,19.20724757496647,21.5,22.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,faf377878212b41a
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-shanghai-on-may-6-2026,Lowest temperature in Shanghai on May 6?,lowest-temperature-in-shanghai-on-may-6-2026-17c,Will the lowest temperature in Shanghai be 17°C on May 6?,17°C,BUY_NO,5.0,0.79,0.008295,6.263349,0.989389,0.191094,6.1969,1.1969,14.21371165765098,16.5,17.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,42dbda52916644fc
2026-05-04T16:47:17+00:00,open,highest-temperature-in-chongqing-on-may-5-2026,Highest temperature in Chongqing on May 5?,highest-temperature-in-chongqing-on-may-5-2026-32c,Will the highest temperature in Chongqing be 32°C on May 5?,32°C,BUY_NO,5.0,0.8,0.008,6.188119,0.998117,0.190117,6.1765,1.1765,28.611152817158896,31.5,32.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,05a66731d8d656ef
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-6-2026,Lowest temperature in Hong Kong on May 6?,lowest-temperature-in-hong-kong-on-may-6-2026-24c,Will the lowest temperature in Hong Kong be 24°C on May 6?,24°C,BUY_NO,5.0,0.8,0.008,6.188119,0.998063,0.190063,6.1761,1.1761,20.620152347444535,23.5,24.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,a3bfb39138216b5c
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-5-2026,Lowest temperature in Hong Kong on May 5?,lowest-temperature-in-hong-kong-on-may-5-2026-20c,Will the lowest temperature in Hong Kong be 20°C on May 5?,20°C,BUY_NO,5.0,0.56,0.01232,8.736371,0.759546,0.187226,6.6357,1.6357,18.99426475449078,19.5,20.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,e0e7c7b13713e74b
2026-05-04T16:47:17+00:00,open,highest-temperature-in-buenos-aires-on-may-5-2026,Highest temperature in Buenos Aires on May 5?,highest-temperature-in-buenos-aires-on-may-5-2026-22c,Will the highest temperature in Buenos Aires be 22°C on May 5?,22°C,BUY_YES,5.0,0.128,0.005581,37.430473,0.319122,0.185542,11.9449,6.9449,21.370418439083316,21.5,22.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,6d6aa8f428fca712
2026-05-04T16:47:17+00:00,open,highest-temperature-in-madrid-on-may-5-2026,Highest temperature in Madrid on May 5?,highest-temperature-in-madrid-on-may-5-2026-20c,Will the highest temperature in Madrid be 20°C on May 5?,20°C,BUY_NO,5.0,0.65,0.011375,7.560008,0.846231,0.184856,6.3975,1.3975,18.592127011833078,19.5,20.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,8ea591316558ed2a
2026-05-04T16:47:17+00:00,open,highest-temperature-in-helsinki-on-may-5-2026,Highest temperature in Helsinki on May 5?,highest-temperature-in-helsinki-on-may-5-2026-12c,Will the highest temperature in Helsinki be 12°C on May 5?,12°C,BUY_NO,5.0,0.64,0.01152,7.674361,0.833061,0.181541,6.3932,1.3932,13.343050842622187,11.5,12.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,a230f08b4fece86a
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-tokyo-on-may-6-2026,Lowest temperature in Tokyo on May 6?,lowest-temperature-in-tokyo-on-may-6-2026-16c,Will the lowest temperature in Tokyo be 16°C on May 6?,16°C,BUY_NO,5.0,0.8,0.008,6.188119,0.989359,0.181359,6.1223,1.1223,13.214793606595002,15.5,16.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,2c96403e0ae2d18b
2026-05-04T16:47:17+00:00,open,highest-temperature-in-seattle-on-may-5-2026,Highest temperature in Seattle on May 5?,highest-temperature-in-seattle-on-may-5-2026-74-75f,Will the highest temperature in Seattle be between 74-75°F on May 5?,74-75°F,BUY_NO,5.0,0.53,0.012455,9.217354,0.723327,0.180872,6.6672,1.6672,22.92286257380819,74.0,76.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,cf81061dc79f14c2
2026-05-04T16:47:17+00:00,open,highest-temperature-in-cape-town-on-may-5-2026,Highest temperature in Cape Town on May 5?,highest-temperature-in-cape-town-on-may-5-2026-15c,Will the highest temperature in Cape Town be 15°C on May 5?,15°C,BUY_YES,5.0,0.02,0.00098,238.322212,0.200231,0.179251,47.7195,42.7195,16.18704046534468,14.5,15.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,21939118aa192210
2026-05-04T16:47:17+00:00,open,highest-temperature-in-chengdu-on-may-5-2026,Highest temperature in Chengdu on May 5?,highest-temperature-in-chengdu-on-may-5-2026-29c,Will the highest temperature in Chengdu be 29°C on May 5?,29°C,BUY_YES,5.0,0.18,0.00738,26.683744,0.362027,0.174647,9.6602,4.6602,29.34938434069962,28.5,29.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,c59e0e3e737e8aa3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,highest-temperature-in-san-francisco-on-may-5-2026-64-65f,Will the highest temperature in San Francisco be between 64-65°F on May 5?,64-65°F,BUY_NO,5.0,0.82,0.00738,6.043172,0.999899,0.172519,6.0426,1.0426,14.061808847105477,64.0,66.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,39de56024953fcb8
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-seoul-on-may-5-2026,Lowest temperature in Seoul on May 5?,lowest-temperature-in-seoul-on-may-5-2026-10c,Will the lowest temperature in Seoul be 10°C on May 5?,10°C,BUY_NO,5.0,0.56,0.01232,8.736371,0.74401,0.17169,6.4999,1.4999,9.064328750818087,9.5,10.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,46a7be209914fcb8
2026-05-04T16:47:17+00:00,open,highest-temperature-in-moscow-on-may-5-2026,Highest temperature in Moscow on May 5?,highest-temperature-in-moscow-on-may-5-2026-24c,Will the highest temperature in Moscow be 24°C on May 5?,24°C,BUY_NO,5.0,0.67,0.011055,7.341551,0.852715,0.17166,6.2603,1.2603,22.559315920740868,23.5,24.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,a4425223bdeff32b
