candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc,maker_expected_pnl_if_filled_usdc,maker_fill_adjusted_expected_pnl_usdc
highest-temperature-in-jakarta-on-may-5-2026|highest-temperature-in-jakarta-on-may-5-2026-34c|BUY_NO,highest-temperature-in-jakarta-on-may-5-2026,Highest temperature in Jakarta on May 5?,Jakarta,May 5,highest,highest-temperature-in-jakarta-on-may-5-2026-34c,34°C,BUY_NO,0.45,0.99775,0.535375,1.157881,0.465,0.015,fair,spread penalty; moderate liquidity,0.520311,1.089797,0.415,0.035,0.52375,1,0.57275,0.521492,1.38012,0.722838,0,"maker viable, taker expected value is higher",0.01,0.04,623.99028,4661.867198,0.459023,0.499473,0.522321,0.946492,0.99976,1.0,0,0,0.01,1,0.461388,0.076352,shift=+1.0C sigma=2.5C slip=0.010,worst shift=+1.0C sigma=2.5C slip=0.010 edge=0.4590; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.5223,passes all stress and execution checks,29.290887,33.5,34.5,celsius,31°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,0,5.0,1,5.0,5.789405,5.448985,6.9006,3.61419
highest-temperature-in-san-francisco-on-may-5-2026|highest-temperature-in-san-francisco-on-may-5-2026-62-63f|BUY_NO,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,San Francisco,May 5,highest,highest-temperature-in-san-francisco-on-may-5-2026-62-63f,62-63°F,BUY_NO,0.55,0.965387,0.403012,0.716625,0.55,0.0,good,,0.403012,0.716625,0.545,0.005,0.625,1,0.410387,0.321082,0.753004,0.470627,0,"maker viable, taker expected value is higher",0.01,0.01,1344.0957,899.707427,0.303762,0.364722,0.430333,0.876082,0.992708,1.0,0,0,0.01,1,0.303837,0.09925,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.3038; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4303,passes all stress and execution checks,14.061809,62.0,64.0,fahrenheit,58-59°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 58-59°F,0,5.0,1,5.0,3.583125,3.583125,3.76502,2.353135
highest-temperature-in-beijing-on-may-5-2026|highest-temperature-in-beijing-on-may-5-2026-28corbelow|BUY_YES,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,Beijing,May 5,highest,highest-temperature-in-beijing-on-may-5-2026-28corbelow,28°C or below,BUY_YES,0.06,0.620274,0.557454,8.87383,0.065,0.005,fair,moderate liquidity,0.552235,8.116481,0.055,0.005,0.6325,1,0.555274,0.294249,10.095891,6.385651,0,"maker viable, taker expected value is higher",0.01,0.01,816.9101,3979.965702,0.28078,0.512661,0.766651,0.359249,0.83469,1.0,0,0,0.01,1,0.263113,0.276674,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.2808; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.7667,passes all stress and execution checks,28.040701,,28.5,celsius,28°C or below,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,5.0,1,5.0,44.36915,40.582405,50.479455,31.928255
highest-temperature-in-shanghai-on-may-5-2026|highest-temperature-in-shanghai-on-may-5-2026-25c|BUY_NO,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,Shanghai,May 5,highest,highest-temperature-in-shanghai-on-may-5-2026-25c,25°C,BUY_NO,0.5,0.87691,0.36441,0.711044,0.515,0.015,fair,spread penalty; moderate liquidity,0.349421,0.662424,0.465,0.035,0.52375,1,0.40191,0.303278,0.864323,0.452689,0,"maker viable, taker expected value is higher",0.01,0.04,688.397,1970.039308,0.240809,0.34293,0.428006,0.778278,0.955494,1.0,0,0,0.01,1,0.238449,0.123601,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.2408; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4280,passes all stress and execution checks,23.126049,24.5,25.5,celsius,23°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,5.0,1,5.0,3.55522,3.31212,4.321615,2.263445
highest-temperature-in-miami-on-may-5-2026|highest-temperature-in-miami-on-may-5-2026-86-87f|BUY_NO,highest-temperature-in-miami-on-may-5-2026,Highest temperature in Miami on May 5?,Miami,May 5,highest,highest-temperature-in-miami-on-may-5-2026-86-87f,86-87°F,BUY_NO,0.59,0.947411,0.345316,0.573524,0.595,0.005,fair,spread penalty,0.340362,0.560684,0.565,0.025,0.585,1,0.372411,0.279622,0.659135,0.385594,0,"maker viable, taker expected value is higher",0.01,0.03,1935.882,1287.459346,0.237673,0.304084,0.380204,0.854622,0.987253,1.0,0,0,0.01,1,0.236909,0.107643,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.2377; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3802,passes all stress and execution checks,27.723493,86.0,88.0,fahrenheit,82-83°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 82-83°F,0,5.0,1,5.0,2.86762,2.80342,3.295675,1.92797
highest-temperature-in-lagos-on-may-5-2026|highest-temperature-in-lagos-on-may-5-2026-34c|BUY_NO,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,Lagos,May 5,highest,highest-temperature-in-lagos-on-may-5-2026-34c,34°C,BUY_NO,0.64,0.985727,0.334207,0.512965,0.66,0.02,poor,wide spread,0.314507,0.46856,0.585,0.055,0.5175,1,0.390727,0.315196,0.667909,0.345643,0,"maker viable, taker expected value is higher",0.01,0.06,1124.7767,606.222743,0.229141,0.281921,0.326408,0.910196,0.997628,1.0,0,0,0.01,1,0.228634,0.105066,shift=+1.0C sigma=2.5C slip=0.010,worst shift=+1.0C sigma=2.5C slip=0.010 edge=0.2291; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3264,passes all stress and execution checks,30.317025,33.5,34.5,celsius,31°C,4,5,wide spread,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,0,5.0,1,5.0,2.564825,2.3428,3.339545,1.728215
highest-temperature-in-buenos-aires-on-may-5-2026|highest-temperature-in-buenos-aires-on-may-5-2026-24c|BUY_NO,highest-temperature-in-buenos-aires-on-may-5-2026,Highest temperature in Buenos Aires on May 5?,Buenos Aires,May 5,highest,highest-temperature-in-buenos-aires-on-may-5-2026-24c,24°C,BUY_NO,0.63,0.940627,0.298972,0.465939,0.635,0.005,fair,spread penalty,0.294038,0.454753,0.605,0.025,0.515,1,0.325627,0.237136,0.538226,0.277187,0,"maker viable, taker expected value is higher",0.01,0.03,1298.6197,572.735634,0.195687,0.263392,0.337892,0.852136,0.98448,1.0,0,0,0.01,1,0.195359,0.103285,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1957; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3379,passes all stress and execution checks,21.370418,23.5,24.5,celsius,22°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C,0,5.0,1,5.0,2.329695,2.273765,2.69113,1.385935
highest-temperature-in-cape-town-on-may-5-2026|highest-temperature-in-cape-town-on-may-5-2026-18c|BUY_NO,highest-temperature-in-cape-town-on-may-5-2026,Highest temperature in Cape Town on May 5?,Cape Town,May 5,highest,highest-temperature-in-cape-town-on-may-5-2026-18c,18°C,BUY_NO,0.56,0.870836,0.298516,0.521589,0.565,0.005,fair,spread penalty,0.293547,0.508493,0.535,0.025,0.515,1,0.325836,0.228339,0.609039,0.313655,0,"maker viable, taker expected value is higher",0.01,0.03,1140.2791,326.11014,0.18612,0.289922,0.374771,0.773339,0.95206,1.0,0,0,0.01,1,0.184881,0.112396,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1861; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3748,passes all stress and execution checks,16.18704,17.5,18.5,celsius,16°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 16°C,0,5.0,1,5.0,2.607945,2.542465,3.045195,1.568275
highest-temperature-in-wuhan-on-may-5-2026|highest-temperature-in-wuhan-on-may-5-2026-30c|BUY_NO,highest-temperature-in-wuhan-on-may-5-2026,Highest temperature in Wuhan on May 5?,Wuhan,May 5,highest,highest-temperature-in-wuhan-on-may-5-2026-30c,30°C,BUY_NO,0.63,0.939906,0.298251,0.464815,0.645,0.015,fair,spread penalty; thin liquidity,0.283457,0.431804,0.605,0.025,0.3775,1,0.324906,0.236026,0.537035,0.202731,0,"maker viable, taker expected value is higher",0.01,0.03,351.0173,432.191126,0.184728,0.253006,0.32777,0.851026,0.984219,1.0,0,0,0.01,1,0.183375,0.113523,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1847; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3278,passes all stress and execution checks,27.381162,29.5,30.5,celsius,28°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 28°C,0,5.0,1,5.0,2.324075,2.15902,2.685175,1.013655
highest-temperature-in-sao-paulo-on-may-5-2026|highest-temperature-in-sao-paulo-on-may-5-2026-28c|BUY_NO,highest-temperature-in-sao-paulo-on-may-5-2026,Highest temperature in Sao Paulo on May 5?,Sao Paulo,May 5,highest,highest-temperature-in-sao-paulo-on-may-5-2026-28c,28°C,BUY_NO,0.54,0.824833,0.272413,0.493127,0.545,0.005,fair,spread penalty,0.267434,0.47979,0.515,0.025,0.515,1,0.299833,0.221243,0.5822,0.299833,0,"maker viable, taker expected value is higher",0.01,0.03,1127.3372,383.140432,0.178894,0.287165,0.363829,0.746243,0.921228,1.0,0,0,0.01,1,0.179542,0.093519,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1789; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3638,passes all stress and execution checks,26.63458,27.5,28.5,celsius,27°C,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 27°C,0,5.0,1,5.0,2.465635,2.39895,2.911,1.499165
highest-temperature-in-atlanta-on-may-5-2026|highest-temperature-in-atlanta-on-may-5-2026-80-81f|BUY_NO,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,Atlanta,May 5,highest,highest-temperature-in-atlanta-on-may-5-2026-80-81f,80-81°F,BUY_NO,0.58,0.893013,0.300833,0.508009,0.58,0.0,good,,0.300833,0.508009,0.565,0.015,0.6025,1,0.318013,0.208197,0.562855,0.33912,0,"maker viable, taker expected value is higher",0.01,0.02,1737.6149,1120.217863,0.181102,0.281515,0.373324,0.783197,0.965504,1.0,0,0,0.01,1,0.179129,0.119731,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1811; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3733,passes all stress and execution checks,25.059308,80.0,82.0,fahrenheit,76-77°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 76-77°F,0,5.0,1,5.0,2.540045,2.540045,2.814275,1.6956
highest-temperature-in-singapore-on-may-5-2026|highest-temperature-in-singapore-on-may-5-2026-32c|BUY_NO,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,Singapore,May 5,highest,highest-temperature-in-singapore-on-may-5-2026-32c,32°C,BUY_NO,0.55,0.840597,0.278222,0.494727,0.555,0.005,fair,moderate liquidity,0.273248,0.481623,0.545,0.005,0.6325,1,0.285597,0.198468,0.524031,0.33145,0,"maker viable, taker expected value is higher",0.01,0.01,563.4346,2036.846213,0.17618,0.284653,0.365511,0.753468,0.93286,1.0,0,0,0.01,1,0.175975,0.102042,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1762; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3655,passes all stress and execution checks,30.481878,31.5,32.5,celsius,30°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,5.0,1,5.0,2.473635,2.408115,2.620155,1.65725
highest-temperature-in-moscow-on-may-5-2026|highest-temperature-in-moscow-on-may-5-2026-25c|BUY_NO,highest-temperature-in-moscow-on-may-5-2026,Highest temperature in Moscow on May 5?,Moscow,May 5,highest,highest-temperature-in-moscow-on-may-5-2026-25c,25°C,BUY_NO,0.63,0.927102,0.285447,0.444861,0.64,0.01,fair,spread penalty,0.275582,0.422983,0.595,0.035,0.58625,1,0.322102,0.22758,0.541348,0.317365,0,"maker viable, taker expected value is higher",0.01,0.04,1740.2399,1150.040752,0.171205,0.24894,0.327814,0.83258,0.979334,1.0,0,0,0.01,1,0.16978,0.114242,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1712; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3278,passes all stress and execution checks,22.559316,24.5,25.5,celsius,23°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,5.0,1,5.0,2.224305,2.114915,2.70674,1.586825
highest-temperature-in-tokyo-on-may-5-2026|highest-temperature-in-tokyo-on-may-5-2026-23corhigher|BUY_NO,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,Tokyo,May 5,highest,highest-temperature-in-tokyo-on-may-5-2026-23corhigher,23°C or higher,BUY_NO,0.62,0.987553,0.355773,0.563128,0.63,0.01,fair,thin liquidity,0.345898,0.539072,0.605,0.015,0.465,1,0.372553,0.212882,0.61579,0.286342,0,"maker viable, taker expected value is higher",0.01,0.02,421.3078,3220.181526,0.176362,0.291991,0.356536,0.827882,0.998191,1.0,0,0,0.01,1,0.168421,0.179411,shift=+1.0C sigma=2.5C slip=0.010,worst shift=+1.0C sigma=2.5C slip=0.010 edge=0.1764; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3565,passes all stress and execution checks,19.135432,22.5,,celsius,19°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,0,5.0,1,5.0,2.81564,2.69536,3.07895,1.43171
highest-temperature-in-beijing-on-may-5-2026|highest-temperature-in-beijing-on-may-5-2026-31c|BUY_NO,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,Beijing,May 5,highest,highest-temperature-in-beijing-on-may-5-2026-31c,31°C,BUY_NO,0.66,0.959999,0.288779,0.43023,0.675,0.015,fair,spread penalty; moderate liquidity,0.27403,0.399479,0.625,0.035,0.45375,1,0.324999,0.241612,0.519998,0.235949,0,"maker viable, taker expected value is higher",0.01,0.04,529.6866,813.932337,0.180823,0.239541,0.304957,0.876612,0.990925,1.0,0,0,0.01,1,0.180028,0.107956,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.1808; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3050,passes all stress and execution checks,28.040701,30.5,31.5,celsius,28°C or below,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 28°C or below,0,5.0,1,5.0,2.15115,1.997395,2.59999,1.179745
highest-temperature-in-ankara-on-may-5-2026|highest-temperature-in-ankara-on-may-5-2026-12c|BUY_NO,highest-temperature-in-ankara-on-may-5-2026,Highest temperature in Ankara on May 5?,Ankara,May 5,highest,highest-temperature-in-ankara-on-may-5-2026-12c,12°C,BUY_NO,0.57,0.746508,0.164253,0.282098,0.57,0.0,good,,0.164253,0.282098,0.565,0.005,0.625,1,0.171508,0.171508,0.303554,0.189721,0,"maker viable, taker expected value is higher",0.01,0.01,1836.1159,926.008815,0.154328,0.229002,0.281115,0.746508,0.86337,1.0,0,0,0.01,1,0.163335,0.009925,shift=+0.0C sigma=1.5C slip=0.010,worst shift=+0.0C sigma=1.5C slip=0.010 edge=0.1543; best shift=+1.0C sigma=2.5C slip=0.000 edge=0.2811,passes all stress and execution checks,12.372044,11.5,12.5,celsius,13°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 13°C or higher,0,5.0,1,5.0,1.41049,1.41049,1.51777,0.948605
highest-temperature-in-singapore-on-may-5-2026|highest-temperature-in-singapore-on-may-5-2026-33c|BUY_NO,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,Singapore,May 5,highest,highest-temperature-in-singapore-on-may-5-2026-33c,33°C,BUY_NO,0.66,0.93286,0.26164,0.389798,0.665,0.005,fair,moderate liquidity,0.256721,0.379687,0.655,0.005,0.6325,1,0.26786,0.175597,0.408947,0.258659,0,"maker viable, taker expected value is higher",0.01,0.01,516.7149,3930.373463,0.154628,0.228284,0.30545,0.840597,0.981589,1.0,0,0,0.01,1,0.153927,0.107012,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1546; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3055,passes all stress and execution checks,30.481878,32.5,33.5,celsius,30°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,5.0,1,5.0,1.94899,1.898435,2.044735,1.293295
lowest-temperature-in-miami-on-may-6-2026|lowest-temperature-in-miami-on-may-6-2026-74-75f|BUY_NO,lowest-temperature-in-miami-on-may-6-2026,Lowest temperature in Miami on May 6?,Miami,May 6,lowest,lowest-temperature-in-miami-on-may-6-2026-74-75f,74-75°F,BUY_NO,0.64,0.918895,0.267375,0.410386,0.645,0.005,fair,moderate liquidity,0.262446,0.399797,0.635,0.005,0.5025,1,0.273895,0.169637,0.431331,0.216744,0,"maker viable, taker expected value is higher",0.01,0.01,798.2091,123.735607,0.148338,0.233687,0.320371,0.814637,0.976819,1.0,0,0,0.01,1,0.146435,0.119037,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1483; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3204,passes all stress and execution checks,21.443101,74.0,76.0,fahrenheit,70-71°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 70-71°F,0,5.0,1,5.0,2.05193,1.998985,2.156655,1.08372
