title,slug,location,resolution_source_url,description
Highest temperature in Houston on May 5?,highest-temperature-in-houston-on-may-5-2026,William P. Hobby,https://www.wunderground.com/history/daily/us/tx/houston/KHOU,"This market will resolve to the temperature range that contains the highest temperature recorded at the William P. Hobby Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the William P. Hobby Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/houston/KHOU.

To toggle"
Lowest temperature in Shanghai on May 6?,lowest-temperature-in-shanghai-on-may-6-2026,Shanghai Pudong International,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shangh"
Lowest temperature in Tokyo on May 5?,lowest-temperature-in-tokyo-on-may-5-2026,Tokyo Haneda,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenhei"
Highest temperature in NYC on May 4?,highest-temperature-in-nyc-on-may-4-2026,LaGuardia,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,"This market will resolve to the temperature range that contains the highest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between"
Highest temperature in Seoul on May 4?,highest-temperature-in-seoul-on-may-4-2026,Incheon Intl,https://www.wunderground.com/history/daily/kr/incheon/RKSI,"This market will resolve to the temperature range that contains the highest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahre"
Highest temperature in Chongqing on May 5?,highest-temperature-in-chongqing-on-may-5-2026,Chongqing Jiangbei International,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/c"
Highest temperature in Munich on May 5?,highest-temperature-in-munich-on-may-5-2026,Munich,https://www.wunderground.com/history/daily/de/munich/EDDM,"This market will resolve to the temperature range that contains the highest temperature recorded at the Munich Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Munich Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/de/munich/EDDM.

To toggle between Fahrenheit and Cel"
Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026,Singapore Changi,https://www.wunderground.com/history/daily/sg/singapore/WSSS,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle bet"
Highest temperature in Dallas on May 5?,highest-temperature-in-dallas-on-may-5-2026,Dallas Love Field,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL,"This market will resolve to the temperature range that contains the highest temperature recorded at the Dallas Love Field Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Dallas Love Field Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/dallas/KDAL.

To toggle between Fahren"
Highest temperature in Qingdao on May 5?,highest-temperature-in-qingdao-on-may-5-2026,Qingdao Jiaodong International,https://www.wunderground.com/history/daily/cn/qingdao/ZSQD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Qingdao Jiaodong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Qingdao Jiaodong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/qi"
Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026,Murtala Muhammad International,https://www.wunderground.com/history/daily/ng/lagos/DNMM,"This market will resolve to the temperature range that contains the highest temperature recorded at the Murtala Muhammad International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Murtala Muhammad International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ng/la"
Highest temperature in Warsaw on May 4?,highest-temperature-in-warsaw-on-may-4-2026,Warsaw Chopin,https://www.wunderground.com/history/daily/pl/warsaw/EPWA,"This market will resolve to the temperature range that contains the highest temperature recorded at the Warsaw Chopin Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Warsaw Chopin Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/pl/warsaw/EPWA.

To toggle between Fahr"
May 2026 Temperature Increase (ºC),may-2026-temperature-increase-c,,https://data.giss.nasa.gov/gistemp/tabledata_v4/GLB.Ts+dSST.txt,"This market will resolve according to the value reported by the Global Land-Ocean Temperature Index for May 2026 when it is released.

An anomaly within a named bracket for May 2026 is necessary and sufficient to resolve this market immediately once the data becomes available, regardless of whether the figure for May 2026 is later revised.

The primary resolution source for this market will be the figure found in the table titled ""GLOBAL Land-Ocean Temperature Index in 0.01 degrees Celsius"" unde"
Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026,Tokyo Haneda,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,"This market will resolve to the temperature range that contains the highest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenh"
Highest temperature in Taipei on May 5?,highest-temperature-in-taipei-on-may-5-2026,Taipei Songshan,https://www.wunderground.com/history/daily/tw/taipei/RCSS,"This market will resolve to the temperature range that contains the highest temperature recorded at the Taipei Songshan Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Taipei Songshan Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tw/taipei/RCSS.

To toggle between "
Highest temperature in Milan on May 5?,highest-temperature-in-milan-on-may-5-2026,Malpensa Intl,https://www.wunderground.com/history/daily/it/milan/LIMC,"This market will resolve to the temperature range that contains the highest temperature recorded at the Malpensa Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Malpensa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/it/milan/LIMC.

To toggle between Fahre"
Highest temperature in Sao Paulo on May 5?,highest-temperature-in-sao-paulo-on-may-5-2026,Sao Paulo-Guarulhos International,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,"This market will resolve to the temperature range that contains the highest temperature recorded at the Sao Paulo-Guarulhos International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Sao Paulo-Guarulhos International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily"
Highest temperature in Amsterdam on May 5?,highest-temperature-in-amsterdam-on-may-5-2026,Amsterdam,https://www.wunderground.com/history/daily/nl/schiphol/EHAM,"This market will resolve to the temperature range that contains the highest temperature recorded at the Amsterdam Airport Schiphol Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Amsterdam Airport Schiphol Station once information is finalized, available here: https://www.wunderground.com/history/daily/nl/schiphol/EHAM.

To toggle "
Highest temperature in Kuala Lumpur on May 5?,highest-temperature-in-kuala-lumpur-on-may-5-2026,Kuala Lumpur Intl,https://www.wunderground.com/history/daily/my/sepang-district/WMKK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Kuala Lumpur Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Kuala Lumpur Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/my/sepang-district/WMKK.

To to"
Lowest temperature in NYC on May 6?,lowest-temperature-in-nyc-on-may-6-2026,LaGuardia,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,"This market will resolve to the temperature range that contains the lowest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between F"
Highest temperature in Taipei on May 4?,highest-temperature-in-taipei-on-may-4-2026,Taipei Songshan,https://www.wunderground.com/history/daily/tw/taipei/RCSS,"This market will resolve to the temperature range that contains the highest temperature recorded at the Taipei Songshan Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Taipei Songshan Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tw/taipei/RCSS.

To toggle between "
Highest temperature in Guangzhou on May 5?,highest-temperature-in-guangzhou-on-may-5-2026,Guangzhou Baiyun International,https://www.wunderground.com/history/daily/cn/guangzhou/ZGGG,"This market will resolve to the temperature range that contains the highest temperature recorded at the Guangzhou Baiyun International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Guangzhou Baiyun International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/gu"
Highest temperature in Hong Kong on May 5?,highest-temperature-in-hong-kong-on-may-5-2026,Hong Kong on May 5,https://www.weather.gov.hk/en/cis/climat.htm,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this da"
Highest temperature in Shenzhen on May 5?,highest-temperature-in-shenzhen-on-may-5-2026,Shenzhen Bao'an International,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shenzhen Bao'an International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shenzhen Bao'an International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shen"
Highest temperature in London on May 4?,highest-temperature-in-london-on-may-4-2026,London City,https://www.wunderground.com/history/daily/gb/london/EGLC,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenhe"
Highest temperature in Manila on May 5?,highest-temperature-in-manila-on-may-5-2026,Ninoy Aquino International,https://www.wunderground.com/history/daily/ph/manila/RPLL,"This market will resolve to the temperature range that contains the highest temperature recorded at the Ninoy Aquino International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Ninoy Aquino International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ph/manila/RPL"
Highest temperature in Madrid on May 5?,highest-temperature-in-madrid-on-may-5-2026,Adolfo Suárez Madrid-Barajas,https://www.wunderground.com/history/daily/es/madrid/LEMD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Adolfo Suárez Madrid-Barajas Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Adolfo Suárez Madrid-Barajas Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/es/madrid"
Highest temperature in Singapore on May 4?,highest-temperature-in-singapore-on-may-4-2026,Singapore Changi,https://www.wunderground.com/history/daily/sg/singapore/WSSS,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle bet"
Highest temperature in Jeddah on May 5?,highest-temperature-in-jeddah-on-may-5-2026,King Abdulaziz International,https://www.wunderground.com/history/daily/sa/jeddah/OEJN,"This market will resolve to the temperature range that contains the highest temperature recorded at the King Abdulaziz International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the King Abdulaziz International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sa/jeddah"
Highest temperature in Jakarta on May 5?,highest-temperature-in-jakarta-on-may-5-2026,Halim Perdanakusuma Intl,https://www.wunderground.com/history/daily/id/jakarta/WIHH,"This market will resolve to the temperature range that contains the highest temperature recorded at the Halim Perdanakusuma Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Halim Perdanakusuma Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/id/jakarta/WIHH.
"
Highest temperature in Jakarta on May 4?,highest-temperature-in-jakarta-on-may-4-2026,Halim Perdanakusuma Intl,https://www.wunderground.com/history/daily/id/jakarta/WIHH,"This market will resolve to the temperature range that contains the highest temperature recorded at the Halim Perdanakusuma Intl Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Halim Perdanakusuma Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/id/jakarta/WIHH.
"
Highest temperature in Beijing on May 4?,highest-temperature-in-beijing-on-may-4-2026,Beijing Capital International,https://www.wunderground.com/history/daily/cn/beijing/ZBAA,"This market will resolve to the temperature range that contains the highest temperature recorded at the Beijing Capital International Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Beijing Capital International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/beij"
Highest temperature in Helsinki on May 5?,highest-temperature-in-helsinki-on-may-5-2026,Helsinki Vantaa,https://www.wunderground.com/history/daily/fi/vantaa/EFHK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Helsinki Vantaa Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Helsinki Vantaa Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fi/vantaa/EFHK.

To toggle between "
Highest temperature in Chongqing on May 4?,highest-temperature-in-chongqing-on-may-4-2026,Chongqing Jiangbei International,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/c"
Lowest temperature in Miami on May 6?,lowest-temperature-in-miami-on-may-6-2026,Miami Intl,https://www.wunderground.com/history/daily/us/fl/miami/KMIA,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Miami Intl Airport Station in degrees Fahrenheit on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Miami Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/fl/miami/KMIA.

To toggle between Fahrenh"
Highest temperature in Tel Aviv on May 5?,highest-temperature-in-tel-aviv-on-may-5-2026,Ben Gurion International Airport,https://www.weather.gov/wrh/timeseries?site=LLBG,"This market will resolve to the temperature range that contains the highest temperature recorded by NOAA at the Ben Gurion International Airport in degrees Celsius on 5 May '26.

The resolution source for this market will be information from NOAA, specifically the highest reading under the ""Temp"" column on the specified date once information is finalized for all hours on that date, available here: https://www.weather.gov/wrh/timeseries?site=LLBG

To toggle between Fahrenheit and Celsius, click t"
Highest temperature in Ankara on May 5?,highest-temperature-in-ankara-on-may-5-2026,Esenboğa Intl,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,"This market will resolve to the temperature range that contains the highest temperature recorded at the Esenboğa Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Esenboğa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC.

To toggle between "
Highest temperature in Madrid on May 4?,highest-temperature-in-madrid-on-may-4-2026,Adolfo Suárez Madrid-Barajas,https://www.wunderground.com/history/daily/es/madrid/LEMD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Adolfo Suárez Madrid-Barajas Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Adolfo Suárez Madrid-Barajas Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/es/madrid"
Lowest temperature in Seoul on May 6?,lowest-temperature-in-seoul-on-may-6-2026,Incheon Intl,https://www.wunderground.com/history/daily/kr/incheon/RKSI,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahrenh"
Highest temperature in Mexico City on May 5?,highest-temperature-in-mexico-city-on-may-5-2026,Benito Juárez International,https://www.wunderground.com/history/daily/mx/mexico-city/MMMX,"This market will resolve to the temperature range that contains the highest temperature recorded at the Benito Juárez International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Benito Juárez International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/mx/mexico-c"
Lowest temperature in Hong Kong on May 6?,lowest-temperature-in-hong-kong-on-may-6-2026,Hong Kong on May 6,https://www.weather.gov.hk/en/cis/climat.htm,"This market will resolve to the temperature range that contains the lowest temperature recorded by the Hong Kong Observatory in degrees Celsius on 6 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Min (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this dat"
Highest temperature in Cape Town on May 5?,highest-temperature-in-cape-town-on-may-5-2026,Cape Town International,https://www.wunderground.com/history/daily/za/matroosfontein/FACT,"This market will resolve to the temperature range that contains the highest temperature recorded at the Cape Town International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Cape Town International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/za/matroosfontein/F"
Highest temperature in Buenos Aires on May 5?,highest-temperature-in-buenos-aires-on-may-5-2026,Minister Pistarini Intl,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ,"This market will resolve to the temperature range that contains the highest temperature recorded at the Minister Pistarini Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Minister Pistarini Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ.

To"
